"lootId","score","rarest"
"8238","61.23824676286129","1"
"11023","60.979291210184655","2"
"14852","60.74774461206721","3"
"15999","58.32209942631594","4"
"15692","57.53919567847517","5"
"14624","57.187793143015014","6"
"15059","56.64360233388905","7"
"14196","56.62774073918916","8"
"12559","55.88483942999529","9"
"11033","55.7113820441398","10"
"14451","55.639547247235924","11"
"10231","55.571116873252656","12"
"12609","55.13652247830187","13"
"15342","54.8821391021654","14"
"11437","54.63457099884411","15"
"15058","54.465021644236295","16"
"10707","53.7489570652155","17"
"15201","53.36675772693558","18"
"8018","52.93770933828052","19"
"9565","52.839357452777165","20"
"10615","52.57614467670463","21"
"10032","52.53587164055986","22"
"13275","52.44336548253209","23"
"8976","52.44044974521516","24"
"11936","52.36568409464247","25"
"15135","52.30795168866789","26"
"9416","52.104197217104996","27"
"9079","51.82876193445851","28"
"9729","51.60414297457142","29"
"14232","51.539005521458","30"
"13888","51.52089530287218","31"
"11866","51.39882041513425","32"
"14168","51.32109986814934","33"
"11631","51.25613580706644","34"
"11020","51.249198857384975","35"
"15675","51.206028929521615","36"
"14708","51.19758357844013","37"
"8375","51.194583152524196","38"
"14714","50.968671819147715","39"
"8858","50.95895247549052","40"
"10750","50.86513604228754","41"
"12782","50.86007088250878","42"
"13183","50.8472179604141","43"
"11538","50.80292319603811","44"
"14197","50.77358444019052","45"
"9207","50.6025946448223","46"
"10471","50.595184474025906","47"
"10964","50.52749872299779","48"
"9090","50.52532725127906","49"
"14761","50.459660363857665","50"
"13154","50.36967831428157","51"
"12880","50.36595462747065","52"
"8847","50.23800028642864","53"
"8893","50.16780611456974","54"
"9940","50.08771354337212","55"
"11860","50.019478251715164","56"
"8852","50.00432116996001","57"
"8948","49.79307866918653","58"
"12811","49.77211709119409","59"
"12602","49.71829280130482","60"
"15423","49.71437706582386","61"
"15287","49.65254482403279","62"
"12552","49.55701679563803","63"
"10417","49.516263891390345","64"
"8936","49.4120853793801","65"
"13774","49.40118177126932","66"
"11088","49.37332093935048","67"
"11539","49.371089335603465","68"
"11094","49.36303507538177","69"
"12279","49.35545625173627","70"
"12906","49.33897834873471","71"
"12061","49.32923242721747","72"
"13873","49.315351557988905","73"
"8998","49.255024502268036","74"
"13071","49.17714117880783","75"
"12387","49.119706339996476","76"
"12197","49.061307418395145","77"
"11040","49.05424912334183","78"
"14874","49.01535914190274","79"
"11337","48.99234537331732","80"
"13479","48.96733978196272","81"
"12001","48.94557248403828","82"
"10235","48.83500605242016","83"
"8017","48.828569667599474","84"
"8982","48.81082205989409","85"
"11145","48.80166415529759","86"
"10875","48.78621757745685","87"
"14743","48.73237568614177","88"
"11593","48.73235809849498","89"
"8300","48.70603768616283","90"
"14981","48.689914049596176","91"
"13893","48.67964978711869","92"
"14681","48.63683926835015","93"
"15789","48.60160067372594","94"
"11575","48.530525049539776","95"
"14042","48.478833647688575","96"
