"lootId","score","rarest"
"1949","59.060911225871926","1"
"2797","57.86308270617495","2"
"2478","57.800681737028256","3"
"3905","57.088567819748455","4"
"949","56.547535003099405","5"
"3043","56.52271085669685","6"
"253","56.04323510708782","7"
"2422","55.425033103069886","8"
"6072","55.39078668784363","9"
"3415","54.45636112223313","10"
"2476","54.19887859707726","11"
"7658","54.14816992708519","12"
"1808","53.971334415860085","13"
"7153","53.523557847347305","14"
"3652","53.5020984049686","15"
"876","53.43676659611947","16"
"1340","53.05528075611789","17"
"2868","52.947041400571514","18"
"3559","52.63645062917827","19"
"1368","52.5399793405622","20"
"52","52.25263033237008","21"
"3758","51.932832925485954","22"
"7691","51.92317877199843","23"
"7636","51.81124343833266","24"
"4067","51.76704631687297","25"
"4176","51.73886106099619","26"
"2496","51.52366642873107","27"
"337","51.375917012098974","28"
"5046","51.29894720896274","29"
"6262","51.27183663910206","30"
"6422","51.13559799136568","31"
"2418","50.92561079967562","32"
"1210","50.75449726311572","33"
"5012","50.66970869139633","34"
"1076","50.55371374617163","35"
"612","50.547242497859145","36"
"625","50.09765068003759","37"
"1529","50.021621794438545","38"
"6806","49.98744114778578","39"
"2964","49.967262140938644","40"
"4605","49.73632072889027","41"
"3366","49.73278781823936","42"
"6109","49.726640849435064","43"
"414","49.70128685152466","44"
"5848","49.68974855959952","45"
"944","49.35420346412034","46"
"4040","49.32350510440884","47"
"129","49.286864774377825","48"
"6842","49.27593254880649","49"
"2809","49.26717512253398","50"
"529","49.2336676364269","51"
"480","49.18588308013404","52"
"832","49.1114863226557","53"
"2326","49.087372655955285","54"
"5887","49.06813093203152","55"
"3391","49.0596042953706","56"
"7684","49.034230668453276","57"
"147","49.00377356588692","58"
"5530","48.99836744195092","59"
"7594","48.94501768652493","60"
"6874","48.91140068557453","61"
"1213","48.885629211287885","62"
"2932","48.85392090357655","63"
"3723","48.84524043170843","64"
"7566","48.83844718901728","65"
"6563","48.836699793682726","66"
"1948","48.8192061178348","67"
"4440","48.8052330182974","68"
"6864","48.78680067458955","69"
"3498","48.73664464088455","70"
"4208","48.728862500442496","71"
"4074","48.70879162270815","72"
"506","48.695319048016785","73"
"6820","48.65722085379984","74"
"3363","48.63242200062233","75"
"7038","48.61312334421767","76"
"4910","48.59220556264459","77"
"3792","48.591811833416045","78"
"5413","48.56296192544968","79"
"2122","48.533616165029244","80"
"3915","48.40640295401397","81"
"7701","48.38345284011925","82"
"6112","48.339359079836655","83"
"2384","48.29770329295004","84"
"4991","48.19302037011758","85"
"6192","48.16042018199734","86"
"1633","48.128189813293375","87"
"7730","48.100394692376085","88"
"5824","48.09287543141084","89"
"5661","48.0777563386087","90"
"1961","48.068612007195256","91"
"1087","48.036164808596716","92"
"3074","48.01623807159511","93"
"5299","48.00041714815908","94"
"2202","47.99776118388061","95"
"300","47.8947378209001","96"
"291","47.85285129366407","97"
"1219","47.84119775413686","98"
"3392","47.77365360568306","99"
"696","47.72424975649726","100"
"5149","47.720424315841704","101"
"445","47.7142115523308","102"
"789","47.68440870868611","103"
"4354","47.66983191498322","104"
"4697","47.598697041078005","105"
"6635","47.59063650830815","106"
"6752","47.559251776062766","107"
"5768","47.49460532572025","108"
"3130","47.45649536720024","109"
"167","47.44745557867011","110"
"7918","47.43887951924276","111"
"5947","47.39277285253439","112"
"245","47.314990037171356","113"
"5343","47.30164140300614","114"
"1452","47.247025167468905","115"
"6776","47.16325317413653","116"
"2048","47.15109009797078","117"
"7782","47.109858090115836","118"
"4792","47.04370541988556","119"
"2464","47.02580403464697","120"
"4269","46.995811215548684","121"
"3887","46.96530260948805","122"
"3818","46.96125893466863","123"
"673","46.95457928775838","124"
"6352","46.95448233043178","125"
"3978","46.901339615290375","126"
"6619","46.87801249691697","127"
"5378","46.87127288680518","128"
"5806","46.86730792693487","129"
"3134","46.77373544891291","130"
"4528","46.75371521624544","131"
"7881","46.75197684883936","132"
"5744","46.70667345139062","133"
"1596","46.6920843285089","134"
"2194","46.67955126897117","135"
"5087","46.674645598755674","136"
"313","46.652251257890185","137"
"4146","46.63798566686984","138"
"7694","46.62132450453187","139"
"2025","46.59669006492181","140"
"2435","46.5746556922821","141"
"5951","46.5737231757507","142"
"7823","46.50728673082909","143"
"280","46.50039894486548","144"
"5699","46.441877762750856","145"
"2047","46.432573133023816","146"
"2835","46.429200448545174","147"
"6271","46.417235280486906","148"
"1249","46.41241569700129","149"
"1893","46.41205686058847","150"
"6691","46.40489501284139","151"
"1911","46.40458438148066","152"
"4588","46.38906440352021","153"
"4496","46.37213674893667","154"
"3213","46.341777956051196","155"
"309","46.3373209905551","156"
"7662","46.33465194669943","157"
"5553","46.325327608347884","158"
"7110","46.30798179064396","159"
"3044","46.289036981926806","160"
"7964","46.28756754810927","161"
"1872","46.205576012393614","162"
"6303","46.19976035146705","163"
"1194","46.19717304340817","164"
"3028","46.158749372567826","165"
"667","46.15808698436231","166"
"5555","46.14948862799357","167"
"3895","46.12646704284336","168"
"5001","46.116091628426084","169"
"808","46.1015070203386","170"
"2054","46.05316369444216","171"
"569","46.0507182927049","172"
"2706","46.03406935351215","173"
"4113","46.03164017702323","174"
"4127","46.00496559805453","175"
"2182","46.001434163048074","176"
"6601","45.98255939020933","177"
"5003","45.97741998737994","178"
"5769","45.95542000653012","179"
"7843","45.92846916586462","180"
"7076","45.923674864596414","181"
"7330","45.91873801896371","182"
"6199","45.91414680257157","183"
"329","45.89143730334607","184"
"7992","45.878696340961014","185"
"1904","45.8587910068926","186"
"2009","45.81453426306058","187"
